idx,pos_en,jd_en
2909,Customer Service,"Give advice about products and services to customers by telephone, email Line @ The answer questions and solve problems for customers to properly explain how the transactions on the site correctly Complaint Counseling and answers. questions to customers coordination between teams. And other departments related to the implementation of the roadmap for other assignments."
2910,Head of Developer,"Lead and manage a team of developers to deliver software and others that meets the needs of users.Create, implement, monitor and maintain a continuous improvement for software development.Collaborating with the appropriate functions and users to evaluate and identify technology platforms for delivering the company’s products and external services"
2911,Staff answer customers online,"Job Description - Customer response to the Facebook page, text boxes, lines and other channels - sending pictures and product descriptions to customers - A detailed description of services and products. Customers understand - closing a sale, a detailed summary of customer orders."
2912,Customer Service,"1. Responsible for providing accurate information about the organization, products and services to customers, The Racquet Club2. Issued a membership card. Storage system customers to send mail and SMS notification messages to subscribers 3. Care of the needs of customers As well as provide information and initial consultation. To customer satisfaction 4. Coordinate with other departments such as the repair scheduling and booking class. Collected data access of 5. Coordinate with marketing. Advocates for programs promoting better."
2913,Head of research and cosmeceutical products.,"New Product Development, Co-develop the recipes and ingredients. Sample preparation and New concepts and targets. Market trends and offering materials that provide benefits based on the concept that defines the selection of quality ingredients. And reasonable cost And tested formula to be used in products supplied information, recipes and product cost test and prepare a summary report Stability test and Shelf life test of its documents regarding the registration point. Verification. the label must By law Sourcing OEM both at home and abroad. Sourcing Packaging and coordinating new products for new products."
2914,Safety Officer,1.Responsible for the company’s safety & environment related works2.Prepare the plan of safety activities and push the plan forward3.Control safety and environment of the company4.Update and take action to comply with safety & environmental related laws and requirements5.ISO 14001 & ISO 45001 implementation and document control.6.Follow up and support company policy.
2915,Product Development Engineer  (New Energy Technology),"Job Summary : Prepare new energy part ability (Hybrid , electric vehicle), support and control and execute project master timing include manage subsystem, component to ensure every work can be finish and meet Company Project requirement.Coordinate related department to support work include with supplier for meet localization project & new energy performance requirementJob Description : • Manage and cooperate localize product, engineering or technical data, test timing with supplier or related department for meet master timing.• Cooperate or release EWO, arrange the PDT meeting with related department when engineering data is changed.• Support or problem analysis with related department for Car building or aftersales issue.• Support vehicle functional performance test such as Hybrid Calibration , Electric Calibration performance with technical center team• Review and cooperated with Technical Center , design owner and supplier about Raw Material and Performance test requirement.• Review or prepare product design, BOM and all engineering technical data for support part localize project."
2916,Assistant Vice President of Legal,"Provide legal assistance and advice to the business and operational units across a variety of legal matters.Draft, review, negotiate and manage all types of legal documents. Serve as business partner to Property Team. Be responsible for property contract matters. Draft, review, negotiate, and manage all types of Legal Agreements Thai and English. ; I.e. Lease Agreement, Construction Agreements. Service Agreements. Vendor Agreements, and Legal Binding Documents.Coordinate and discuss with external lawyers; i.e. litigation cases and other legal issues. Preparation Minutes of Board of Directors and Shareholders meetings. Monitor compliance with relevant laws and regulations. Supervise and manage team."
2917,Interior Engineer,"• Manage and cooperate localize product, engineering or technical data, test timing with supplier or related department for meet master timing.• Cooperate or release EWO, arrange the PDT meeting with related department when engineering data is changed.• Support or problem analysis with related department for Car building or aftersales issue.• Review and cooperated with SAIC group and supplier about Raw Material and Performance test requirement.• Review or prepare product design, BOM and all engineering technical data for support part localize project."
2918,Senior Product Manager,"1. Responsible for providing the sales team with the necessary information and tools to enable them to sell the product. This involves printed and electronic promotional material, product training, and relevant clinical papers.2. Responsible for reviewing product data to ensure that the field force is kept up to date on new developments regarding the companies or competitors’ products.3. Act as point of first reference for all product related enquiries and work collaboratively with vendor and relevant teams.4. Close liaison with the field force to assess the response to and suitability of current promotional material and to ensure that the printed promotional material is being used optimally.5. Assist with the development of the annual business plan and implementing the plan to achieve sales target within controlled expenses."
2919,Network & Security Engineer,"Vintcom Technology is a Value-Added Distributor (VAD) of Splunk for Thailand, Cambodia, Laos, and Myanmar.Our objective is to become the leading value-added distributor through optimized digital solutions and professional services.We are looking for a Splunk Engineer. If you have interest in big data and data analytics, join usyou will have a chance to learn more about new technology.Position: System Engineer (Splunk)Responsibilities:Work independently on pre-sales activities which includes:• Understand customer IT/Security infrastructure and business requirement• Strategic Solution selling• Solution Presentation• Solution Demonstration and Proof of Concept• Business Solution Proposal• RFI/RFP specification preparation"
2920,PLANT MANAGER – FOOD/FMCG (250 – 350K),"Manage, direct and control all activities in the Factory including Production, Maintenance, Quality Assurance, Engineering etc.Responsible for production scheduling. (Capacity and production planning).Ensure finished products comply with the quality specification.Ensure delivery according production plan and meet the objective of on time quality in full.Monitors, evaluates, and controls the capacity utilization.Manpower planning.Promote cost effectiveness and overall productivity and efficiencies of production lines to meet KPIDevelop and promote preventive maintenance programs.Ensure all operating expenses are controlled within approved levels.Initiate cost saving initiatives.Lead a project team for new product line development.Ensure high service levels to customers.Successors planning by conducting training needs analysis in technical, Leadership and management skill.Faster team work and share best practices among peers and subordinates."
2921,Technical Consultant (Presales Engineer),"• Providing presales technical/functional support to prospective clients and customers while ensuring customer satisfaction with minimal supervision, through on-line/in person sales efforts. • Designing, validating, and presenting Oracle/HDS solutions to include advanced product concepts, future direction, and 3rd party complimentary products.• Presenting and articulating advanced product features and benefits, product future direction and overall Oracle (Hardware, Database, Middleware)/HDS solutions• Develop, present and demonstrate solutions to prospective customers based on detailed customer requirements with emphasis on Oracle/HDS key differentiators• Understand the dependencies on other Oracle/HDS and 3rd party software components to develop complete solutions for customers• Learn and maintain competitive knowledge on industries and products to leverage in the sales cycle"
2922,Recruitment Officer,"Job Description1.Conduct all recruitment activities for all candidates' levels.2.Conduct all recruitment function's processes and improve on efficiency in meeting departmental headcount needs and communication to applicants.3.Work closely with department heads on headcount needs and participate in manpower planning as. required.4.Monitor external recruitment costs ensuring they are within budget given and manage relationship with external recruitment vendors.5.Engage in candidates offer negotiations and review contract management, employment agreement and ensuring that they are standardised across all employees. the main one. responsible for the recruitment to fill each day 2. Recruitment is planned to be defined. Channel 3. Interview staff to meet customer demand. 4. recruiting channel development employees to have a better performance than 5. Contact. Liaison with clients Including hearing problems Customer demand 6. Fixed problem with client companies."
2923,"External Medical Escort (Physician, All-Inclusive fees of USD 1,200 per trip)","Under the technical supervision of the Chief Medical Officer and Chief Nurse and administrative supervision of the Chief of Mission, the successful candidates will:•Receive the migrant(s) at the Receiving Point in the Country of Departure; provide the migrant(s) with escort services throughout the journey, and handover the migrant(s) to the designated Receiving Party at the designated place in the Country of Destination.•Reviews all files of refugees/migrants known to have significant medical conditions and communicating the findings with the IOM physician.•Medical Escort (and/or the attending medical personnel) completes the airlines’ MEDIF form in case in-flight special services are required. MEDIF forms are usually submitted at least 2 weeks in advance for review/approval by the Airlines’ medical staff.•Responsible for bringing a medical escort kit, with additional medications and medical equipment related to specific needs of the travelling migrants. The escort is expected to return the kit upon completion of tasks and maintain an accurate inventory of supplies used during travel and inform IOM at the base mission accordingly.•Ensures that the to-be-escorted individual and other IOM passengers are fit for travel and do not pose any health threat to other passengers on the aircraft. •Reserves the right to cancel any persons from a flight after evaluating the clinical condition of the migrant in coordination with the IOM physician. The medical escort should immediately notify the IOM Migration Health Services Unit and the Operations staff of such events that may cause delays/alterations of the operation as planned. •Should introduce him/herself to cabin staff, advising that he/she will be available to assist in any way at all with migrants during travel particularly in case of large groups and when no other IOM operation escort staff is/are on board.  It is important for medical escorts to understand that their responsibility might not be limited to the medical care of the escorted migrant but that can be extended to general in-flight and on-the-ground support to passengers travelling under the auspices of IOM as circumstances allow.•Endorses the escorted migrant to his/her representative from the resettlement agency, or the IOM Operations staff, or appropriate health care personnel at the final destination and obtain written evidence of the hand-over. •Submits a completed Medical Flight Report Form and Migrant Handover Notification to the IOM Mission and the relevant MHD Unit within the agreed timeline after the completion of tasks.•Performs other duties as assigned."
2924,Sales Panel Builder,"1. To maintain customer group relations2. To advice the customers to wisely choose quality products by using Engineering knowledge.3. To coordinate with Production, Logistics and Customer Credit processes to complete the selling.4. To update the market information, researching and knowing the market potential of customers and competitors also participate in the company market planning."
2925,Secretary (Information in English).,"1. Written correspondence and print various documents 2. Gather information. To prepare written reports 3. Call and Call 4. Helps manage about 5 meeting. The draft report prepared recording documents, books and 6. Send the order to go to different departments. 7. You can use the computers to collect information and record it."
2926,Mobile Application / developer applications on mobile phones.,"1. Write React, Resposive on mobile and 2. Learn about the Third Party Payment (Payment Gateway) 3. Ui and ux designed to suit the requirement of the user 4. Bug fixes the mobile app original products. And 5 new developments. Development work either IOS operating system and Android6. Improved performance mobile app update version includes tools and functionality to date 7. Testing mobile app and web service8. Education and research new technologies. And exchange of knowledge within the development team."
2927,Sales Representative (Chonburi).,"- promoting knowledge of stem cells to interested physicians, nurses and medical staff involved - acquiring new customers for contract storage of stem cells - responsible for sales in the area of ​​responsibility - Liaise with staff. And work related to providing more performance."
2928,Sales Representatives (District Udon Thani),"- promoting knowledge of stem cells to interested physicians, nurses and medical staff involved - acquiring new customers for contract storage of stem cells - responsible for sales in the area of ​​responsibility - Liaise with staff. And work related to providing more performance."
2929,Sales Representatives (Bangkok - Bangkok),"- promoting knowledge of stem cells to interested physicians, nurses and medical staff involved - acquiring new customers for contract storage of stem cells - responsible for sales in the area of ​​responsibility - Liaise with staff. And work related to providing more performance."
2930,Sales Representative (Konkan region).,"- promoting knowledge of stem cells to interested physicians, nurses and medical staff involved - acquiring new customers for contract storage of stem cells - responsible for sales in the area of ​​responsibility - Liaise with staff. And work related to providing more performance."
2931,Quality Management Representative,"1. Work Plan 2. The quality control system documents. Check the registration review, edit, store and destroy documents 3. Counseling guidelines for the planning and coordination of the preparation, review, maintain and improve the Quality Management System. In order to enhance the quality management systems."
2932,HR Officer (1 position).,"1. Ensure the recruitment process Tests and interview new employees (think outside the box) 2. Care benefits such as uniforms Social security, health insurance, etc. 3. To prepare for the event, as well as strengthening the good atmosphere of work (fun surprise non-traditional) 4. Coordinate with all agencies in the activities and communications. within the company (approached the negotiations wonderful). 5 in preparation activities, including strengthening the atmosphere of good practice (be careful) 6. Justin. Labor activity (activity friendly win team)."
2933,Sales Executive (Base in Phuket/Hadyai) 2 positions!,"1. To maintain customer group relations2. To advice the customers to wisely choose quality products by using Engineering knowledge.3. To coordinate with Production, Logistics and Customer Credit processes to complete the selling.4. To update the market information, researching and knowing the market potential of customers and competitors also participate in the company market planning."
2934,Software Developer,1. Write Coding specification assignment 2. How can I develop Coding efficiency even more.
2935,Engineering Staff 2 Positions (Welding Engineer),"Handle and prepare new model, new production equipment and JIG.Set up line production and trial, if have experience assembly press part /Robot teaching is advantage. To do Make plan / control schedule and trial assembly process. Checking quality and feedback data of new model parts. Creating customer and supplier document.(PFMEA/Control Plan/Flow Chart) To improve production equipment and JIG. To do data and report to Japanese manager. To support correspondence and document to customer/supplier. To analysis assembly part accuracy and make countermeasure for improvement."
2936,sale manager,"Strategic planning, sales presentations and promotional projects. In any way with the marketing department to comply with corporate policies. And find a way to build relationships with new customers. As well as follow-up presentations for the sales team to customers. To make money consistently for the organization and creates the highest satisfaction to our customers."
2937,Human Resources and Administration,"Care Recruitment Process Training new employees to provide information documenting employee training. Employee assessment and prepare a report on the absence on leave late care benefits such as social security, health insurance, uniforms, etc. The preparation of the event. Including strengthening the atmosphere of good practice. Coordinate with all agencies in the event and communication within the company's labor relations event (Event friendly win team) to perform other functions. As assigned by the supervisor to document the various assignments."
2938,Engineer (emphasis on spoken and written English as well).,"- Paperwork personnel - prepared by staff personnel records data into the recording system Payroll- Time Attendance- key employees in the OT system Payroll - The raw data. Employees, monthly, daily - make wages and compensation. Staff daily and monthly - Other duties as assigned -."
2939,"Marketing Professional - Trading/Import/Export (Food, Metal, Chemical, Automotive Department)","• Coordinate with customers and suppliers for response their daily inquiry.• Receive and verify enquiry from customer.• Create request for customer from with full information to supplier and follow up.• Cooperate with support unit such as W/H, transportation, shipping, accounting, and QC department for routine working.• Visit customer for discussion about inventory and information.• Monitor sales performance and profit achieved."
2940,Product Specialist,"Create a plan to achieve objectives through sales and servicing of customers. Provides product information advice to customers, sales personnel, and healthcare professionals responding to product related questions, issues and problems.Schedule appointments and make preplanned product presentations and demonstrations to customers. Identify new customers, increase new listing and maintain partnership with key opinion leaders and key users.Prepare product reports, specification, catalogue, operation manual, QC checklists, market intelligence data and documents as required.Follow up with customers to resolve any issues and ensure satisfaction in timely mannerProvide input to product forecast.Create and participate in special events and marketing activities to improve company performance."
2941,Accounts Payable,1. Check documents to pay and do not pay the invoice 2. Save the cost of daily reporting 3. Reconcile Cash Daily 4. Check the list to pay commissions and expenses. 5. coordination of paid employees pay for messenger 6. 7. 8. Follow the money paid trial Recruiting 7. Other duties as assigned.
2942,Sale Industrial battery,1. Managed activity of sale and service industrial battery section.2. Complier battery spec with TOR or customer.3. Continual contact with New and old customer to follow purchasing prerion of each customer.4. Increase sales value in old and new customer.5. Checking and monitoring industrial and consultancy with customer.6. Find out and control supplier for remove old battery and install new battery and commissioning.7. Analysis battery problem and recommend corrective action to customer.8. Improve service process and find out tooling to support service team.9. Issued battery condition report and recommend corrective action to customer.
2943,Export Sales Admin Staff (Bangkok Office),"1) Co-ordinate among mill, forwarder companies and shipping agent to ensure that the product can be delivered on time.2) Book the vessel space with the shipping agent.3) Book the haulage with forwarder companies.4) Prepare Commercial invoice and Packing list for customers clearance.5) Prepare Shipping particular to the shipping agent.6) Check B/L details information as per Shipping Instruction or L/C.7) Prepare Commercial invoice and Packing list and other shipping documents as per Shipping Instruction or L/C for customer. (Other shipping documents ; Insurance policy, Certificate of Origin, and etc.)8) Summary monthly shipments report."
2944,Product Manager,"•Sell in & out performance analysis and management •Marketing strategy development•Competitor analysis•Best seller SKUs analysis and management•Stock monitoring and demand planning•Marketing expenses management and budgeting•To support sales team in providing selling tools (i.e. sales presentation, Ads VDO) •Brand equity development and management•IMC development and management •Consumer data acquisition and CRM activities development"
2945,Trade Marketing Manager,• Regularly market visit in order to acquire market information and be able to analyze sales channels • Distribution channel analysis and new door expansion strategy• Quarterly sell in and sell out promotion development• POSM management• VM guideline development and management• Merchandising facing development & management
2946,Deputy Director of the National Institute of Gems and jewelry techniques.,"Director of Policy and Strategy Administrative, personnel, budget, inventory and assets. Development management system for a special mission. The audit gem Check Precious Metals Jewelry and research and development plans and supervising the implementation of the strategic plan for the institution. Guidelines of the competent authority in accordance with the policies, strategies, expectations and goals for the success of the institution. Target (Objective) and key performance indicators (KPI) of the Internal Guidelines improving standards and regulations, rules and practices in question."
2947,Product planning,"- Provides daily/weekly/monthly reports as designed by senior management.- Collaborate with production team to ensure that customers will receive product on-time and in full quantity - Communicate and coordinate with external customers and internal parties for an update of demand plan.- Assists in handling the needs of customer, works with production, R&D, and merchandising team to get the necessary information.- Collect and analyze useful information for capacity planning and production delivery.- Other works as assigned by senior management."
2948,Sales Executive Project modification Phetkasem 69 villas.,1. Oversee project
2949,Programmer,• Developer and maintain internal systems.
2950,PRODUCTION SUPERVISOR (production supervisor) - Udon Thani.,"1. Maintain control in manufacturing production lines to meet the target. And in accordance with regulations 2. Developing strategies to use the machine 3. Operational Control Troubleshooting page, as assigned. To be able to perform effectively. 4 and secure. Care and responsibility in the absence, resignation and retain employees to stay with the organization. 5 of the Daily Worker. Responsibility And can work well under pressure."
2951,PRODUCTION SUPERVISOR (Head of Production).,"1. Maintain control in manufacturing production lines to meet the target. And in accordance with regulations 2. Developing strategies to use the machine 3. Operational Control Troubleshooting page, as assigned. To be able to perform effectively. 4 and secure. Care and responsibility in the absence, resignation and retain employees to stay with the organization. 5 of the Daily Worker. Responsibility And can work well under pressure."
2952,QUALITY CONTROLLER (Engineer) Udon Thani.,• Check the quality of raw materials to meet the criteria. Check the products according to the standards of our customers. Reduce losses in the manufacturing process.
2953,[BONUS (6.6 month + 30k standard grade)] HRD & HRM Manager (43297),"Salary:  70,000 - 79,000 THBIndustry: Manufacturing Location: Amatanakorn (Chonburi) Work Type: Mon-Sat 08:00-17:00 Working On Saturday Job description:- Involve in HRM and HRD including recruitment, training, career development, compensation, and benefits - Maintain and enhance the organization's human resources by planning, implementing, and evaluating as follows: HRM function- Manage the manpower planning, recruitment systems, and process- Manage the implementation of compensation & benefits, and policies- Manage the annual performance appraisal- Manage and budgetingHRD function- Manage the training and development plan with the goals of the organization- Manage and develop career path, succession plans, and talent management program- Create programs and activities to provide skill development"
2954,【Chemical】Production Engineer (50060),Chemical process analysis for trouble shooting and improvement.Planing for plant turnaround and maintenance activities.Schedule for plant turnaround and maintenance activities.Reporting plant process and performance.Preparing basic and conceptual design for plant improvement.
2955,Service Engineer (Amatanakorn) (24653),"Salary: 25,000 - 45,000 THBIndustry: ManufacturingLocation: AmatanakornWork Type: Mon - Fri 08:00 17:00Job description:- Responsible for technical service for customers- Provide technical services such as installation, inspection & calibration, repair and instruction- Make and manage estimations, reports and certification after technical support- Support sales person for technical issues- Other related tasks as needed"
2956,Sales Coordinator (Rayong) *Chinese Speaking (50063),"*Responsible for supporting sales team*Sometimes visit client with Sales person by company car*Coordinate with customer over the phone*Cooperate with sales team (1 Japanese, 1 Chinese, 1 Thai)*Make an estimation and correspond with customer*Other tasks as needed"
2957,Safety and Environment Manager (41255),"•Implement safety regulation or standard and environment for workplace.•Perform risk assessment and implement ISO14001.•Propose and manage SE action plan to reduce number of injuries and accidents, and improve environmental performance through continuous improvement in order to establish a zero loss.•Control all issues regarding to safety, environment & security and the systems for compliance with all legal and corporate requirements.•Propose safety, environment and security options to be fully taken into account in change management.•Monitor risk of asset loss through enforcing business wide standards, policies and practices.•Create safety culture by ensuring that systems are placed, appropriate training is conducted.•Control the site to be optimized in terms of emergency preparedness.•Making, controlling and summarizing safety, environment and security budgets."
2958,Quality Control Supervisor (Colour product) (49690),"1. Establish the control system to prevent the re occurrence problem and supervise product trial as well as quality aspects 2. Quality control of product.3. Determine quality of material for supporting the quality system as center of regional as well as to prevent the re occurrence problem in customer complaint and supplier complaint.4. Support document PPAP , ISO and audit5. Other tasks."
2959,QA CAT / CAN Junior Manager (Amatanakorn) (49692),• Summarize and report the customer complaint.• The cause How to solve the quality problems.• Support customer audit process and products.• Following the summary report updates supplier.• Prepare product co-check (new supplier and change)• Prepare PPAP approval for new suppliers.(and change)• Follow-up inspection of raw materials And the finished product For new products during the manufacturing process.• Understand as a product.• Prepare inspection standard for customer approval.• Training to QC member.
2960,Prototype Engineer (Gateway) (50078),"- Prototype and New Model- BOM, Control Plan , PFMEA , WI , Check sheet , Document support Production line- Development production- Design Jig & Fixture support Production- Design process"
2961,Product MGR or Sales MGR (Commercial Insulation) (45891),"Salary: 80,000 - 140,000 THBIndustry: ManufacturingLocation: AmatanakornWork Type: Mon - Fri 08:00 - 17:00Job description:- Establish and execute marketing strategies for the establishment and growth of thermobreak insulation products in Thailand's market- Identify, evaluate and appoint suitable partners (agents, distributors) for the distribution/reselling of products- Directly promote thermobreak insulation products to consulting engineers, contractors and owners in coordination with agents and distributors- Perform market analysis including competitors, pricing levels, supply and distribution channels and product positioning- Responsible for the management of personnel and development of sales representatives and sales support staff- Conduct technical seminars, organize and participate in product-related exhibitions (HVAC)- Generate and prepare marketing aids such as product brochures, advertising materials, technical literature and product related information packages- Handle individual project tracking and follow-ups in coordination with distributors and agents- Determine annual and gross-profit plans by forecasting and developing annual sales quotas for regions/distributors; projecting expected sales volume and profit for existing and new products; analyzing trends and results; establishing pricing strategies; recommending selling prices; monitoring costs, competition, supply and demand"
2962,Interpreter*N3 (48490),"Salary: 35,000 - 45,000 THBIndustry: ManufacturingLocation: Amata CityWork Type: Mon - Sat 08:00 -  17:10 Work on Sat (2-3 times per month)Job description:- Interpret spoken languages (Thai and Japanese)Translate documents (Thai and Japanese)- Facilitate the communication in the warehouse- Work under the Department of Logistics & GA- Other related tasks as assigned- The scope of work: 50% interpretation (conversation) & 50% translation (documents)"
2963,Company Secretary (Bangkok) (48487),"Salary: 80,000 - 110,000 THBIndustry: ManufacturingLocation: Ratchadapisek - PhetchaburiWork Type: Mon - Fri 08:00 - 17:00Job description:- Organize, prepare agendas and take minutes for the Board of Directors meetings, Subcommittees meeting and Annual General Meetings (AGMs) as well as coordinate with relevant parties to ensure that all resolutions have beenimplemented.- Ensure the compliance of the Company and the Board of Directors with the relevant laws, rules & regulations, resolutions of both the Board and AGM's meetings including corporate governance practices etc.- Inform Directors and Executives of any changes in regulations related to them.- Coordinate and liaison with regulators and authorities, including the SEC and SET on regulatory compliance and company secretarial works and general commercial matters.Responsible for new director’s appointment and registration of such amendment.- Responsible for the submission of Company’s annual report, sustainability report, and any other reports which may be required by SEC and SET.- Deal with correspondence, collate information and write reports, ensuring decisions made are communicated to the relevant company stakeholders.- Provide stakeholders with information and reports when required, give advice and ensuring appropriate corporate records and documents are maintained and filed with protection of sensitivity and confidentiality."
2964,CNC Machining Engineer (49691),"- Improvement tool life, Preventive maintenance of jig on process - Observe / Support process line for machine breakdown preventive - Responsible for standard set-up and calculate CNC machine - Controller CNC machining center and CNC lathe - programming CNC"
2965,Sales (50079),*Visit client with Japanese Manager*To find new client and take care existing customer*Visit client by driving the company car*Present company products(Leasing Machine / Car / Office supply)*Cold calling to make appointment
2966,Accounting Manager (50070),"Job Description- Maintain accounting system and Plan organize and all direct activities of accounting function.- Ensuring the company complies with all regulatory requirements regarding financial reports.- Handling all finance and tax compliance.- Analyze actual manufacturing cost and Summarize data for report comparing against Budget plan with last year.- Analyze standard manufacturing cost and Summarize data for report.- Run quarterly forecast process for cost and Make sure all deadlines are met.- Provide commentary and Analysis cost against budget and previous quarterly forecast.- Provide details of risk and opportunities for cost.- Estimates cost for new product and customer.- Support the project cost team in the development of standard costing system.- Liaise closely with internal & external auditor and tax auditor.- Key point of contract for auditors by taking routine responsibility for smooth running of audit process.- Developing and Implementing best practice process and system across the group.Required Experience ** Must ** • Age 38-45 years old.• Bachelor's Degree or higher in Accounting field.• Minimum 10-12 years' experience of Cost accounting, General accounting and Finance in automotive manufacturing.• Having knowledge in the Local accounting (GAAP) and International financial reporting standards (IFRS).• Good management and good in English ** Advantage **• Having experience in Auditing function is preferred.• Strong financial analytical skill.• Strong Leadership skill, Interpersonal skill and Presentation skill.• Good command in English.Employee Benefits(Other Welfares/ สวัสดิการอื่นๆ) - Meal allowance- Transportation allowance- Meal allowance- Transportation allowance- Diligent Allowance- Housing Allowance - Health Allowance include Family- Accident Insurance- Marriage Allowance-Bonus 6.6 month + 30k (standard Grade)- Funeral Allowance- Provident Fund- Bonus 2017 6-7 monthsWork LocationAmatanakorn phase 8Total Salary65K - 75KWorking dayMon - Fri, Working On Saturday  depend on company calendar."
2967,Accounting Manager (Lemchabang) (50071),"*Responsible for manage accounting section and general affairs section as manager*Analyze data of cost for raw material, purchase, inventory, labor and etc*Cooperate with accounting firm for periodic accounting closing*Deal with accounting tasks such as invoicing, taxation and etc*Other related tasks as assigned"
2968,Senior Compliance Officer / Manager Level,"Study of the Guidelines in support of business finance. commercial Bank Under the supervision of the Bank of Thailand SEC. OIC. And other official agencies. Regulatory and Compliance Testing conducted compliance requirements, official rules, internal communications, research, and consulting with departments within the organization. The event is triggered inquiries. Tracking and definition updates through the agency overseeing the development of communication and information management in Compliance with the system."
2969,Corporate Account Assistant,Customer contact departments of various organizations to offer packages of products in the company by phone. Email and other online channels.
2971,Graphic designer BBIA,"Cosmetics brand BBIA (piano) conducted photo and video services. To promote the products on the various media, photography. Photo and video editing product reviews or other video editing, design or artwork files that have been assigned to complete the development work designed to determine the current market is always working for other designers. According to the assigned work at 09:00 am. - 18:00 pm. Location: Phaholyothin Place Building (BTS ARI) candidate attach work had been done with it."
2972,Officials - Transfer of patients (duty stretcher).,"Provide assistance and wheelchair seat, sleeper service to move patients. Rescuers from the outside."
2973,Branch Manager / Assistant Manager,"• Administration Storefront Care tidy interior. • Manage and motivate sales, sales goals • provide customer satisfaction. • Executive Officer Control and surveillance operations to ensure compliance with regulations and company policies • To show the product page. • inventory and sales reports. And a turnover of The result of the employee. • Other. According to the assigned"
2974,Accounting and Administration,"Documenting and reporting of accounting, the Company recorded sales report. Costs / expenses of the branch reports record fiscal reporting, tax Worlds. 30, PND. 1, PND. 3, PND. 53 charge to open the bill, invoice receipt, invoice from withholding (50. bIS) monitor the spending of companies and branches collected and reviewed for accuracy. Save the file to compile and submit the payroll social security coordination office accounts and branch coordination with officials inside and outside the organization for other assignments."
2975,"Programmer (C #, VB, ASP, .NET, PL / SQL).","1. C #, VB, ASP, .NET Programmer 3 Position 2. SQL, PL / SQL (Oracle Database) Programmer 1 Position 3. PHP / Web Programmer 2 Unit 4. Oracle PL / SQL Developer 1 ratio 5. Application Support 2 rate. click to see all vacant positions https://goo.gl/BsXG59 programmer 1. Develop and test software to run straight. Requirement2. Structural design software And stored into the database 3. Structural design and standardize Web service API, Store procedure, User Interface Design 4. Working with Tester, Business Analyst, Project Manager, to deliver work on time 5. Researching new technologies To improve and develop the software continuously."
2976,Customer Service Supervisor / Manager (Call center and Online order processing),"•Responsible for managing Customer Service team to handle customer inquiries and complaints both before and after sale and handle order processing•Train and mentor CS staffs on how to deliver the best customer service possible•Communicate with customers via phone, email, or social media•Investigate customer's problems and find solutions•Handle major incidents that cannot be resolved by CS staffs•Collaborate with different teams in resolving customer queries•Coordinate with Warehouse staffs and 3PL providers regarding daily order delivery and issues•Monitoring the team’s performance•Analyze data and statistics and identify areas of improvement•Create standard operating procedures•Be a main contact for CS team to communicate and work with internal teams"
2977,Production Control Supervisor PT19011821,"Type of Business:Manufacturing auto partsSalary Range:25,000-35,000 bahtJob Description:- Review forecast and customer order - Material control and all of Out-Source process - Issue production capacity and review manpower - Issue and review production monthly plan and daily plan - Implement and control KANBAN System"
2978,Sales Engineer PT19011812,"Type of Business:Sales of industrial robotSalary Range:28,000-40,000 bahtJob Description: - Sales of Industrial robot, FA products to manufacturing companies. - Support Distributors."
2979,Project Management Officer (Japanese Speaking) PT19011809,"Type of Business:Sales of industrial equipment, softwareSalary Range:40,000-50,000 bahtJob Description: - Project coordination among customers, development team and vendor in Thai, English, and Japanese - Assist team to support documentation translation and meeting Translation"
2980,Legal Senior Officer PT19011802,"Type of Business:Manufacturing car air-con, radiator, magnet, etc.Salary Range:30,000-40,000 bahtJob Description: - Drafting and reviewing domestic and international contracts - Drafting and reviewing contracts in Thai and English languages - Negotiation on terms and conditions of contracts - Respond to legal consultation"
2981,Sales Admin PT19011801,"Type of Business:Distribution of 3D printer & providing cadSalary Range:20,000-24,000 bahtJob Description: - Responsible for assisting the Sales Manager in general jobs,which include but is not limited to: Organizing of Sales raw data for management team  - Responsible for assisting the sales team in general jobs"
2982,Senior Marketing Communication Specialist / Assistant Manager (Offline Team),"•Communicate, develop and control the visual image and key message of brand in each sales and marketing channels eg. Media, shelf , POP•Establish and develop integrated Branding and Marketing Communication strategy in line with business direction to achieve strong marketing presence, brand identity and positioning in the industry.•Strategically structure, set up and execute key short-term and long-term communication plan, using various, trendy and effective channels and contents (including viral and social media platforms, online & offline customer event, PR event, etc.)•In charge of brand image enhancement and brand awareness to public, using all above the line, below the line and through the line marketing.•Organize and attend marketing activities and events to raise brand awareness.•Plan and manage annual marketing communication budget & expenditure and ensure the budget spending is fully maximized.•Build and maintain relationship both online & offline media, influencers, bloggers to ensure positive coverage and reputation of Konvy.com•Responsible for managing Influencers (KOLs, Beauty Bloggers, Micro Influencers, Celebrities, etc.) across a variety of campaigns and media.•Work with agencies or individual Influencers about delivered contents, make sure their schedules and contents are well managed.•Continuously seek to refine and enhance influencer marketing initiatives.•Develop press materials in Thai and English, including news releases, speeches, presentations, articles as well as Prepare briefing materials and manage executive spokespeople.•Create content and storytelling to emphasize brand success.•Create monthly analysis report to measure, evaluate campaign/media performance and identify opportunities to improve Branding and Marketing Communication strategy.•Analyze market situation and competitors to improve our brand communication•Collect brand communication to the portfolio"
